holiday,timestamp,item_id,dow
0,4/23/2017,Restaurant_Visitors,6
0,4/24/2017,Restaurant_Visitors,0
0,4/25/2017,Restaurant_Visitors,1
0,4/26/2017,Restaurant_Visitors,2
0,4/27/2017,Restaurant_Visitors,3
0,4/28/2017,Restaurant_Visitors,4
0,4/29/2017,Restaurant_Visitors,5
0,4/30/2017,Restaurant_Visitors,6
0,5/1/2017,Restaurant_Visitors,0
0,5/2/2017,Restaurant_Visitors,1
0,5/3/2017,Restaurant_Visitors,2
0,5/4/2017,Restaurant_Visitors,3
1,5/5/2017,Restaurant_Visitors,4
0,5/6/2017,Restaurant_Visitors,5
0,5/7/2017,Restaurant_Visitors,6
0,5/8/2017,Restaurant_Visitors,0
0,5/9/2017,Restaurant_Visitors,1
0,5/10/2017,Restaurant_Visitors,2
0,5/11/2017,Restaurant_Visitors,3
0,5/12/2017,Restaurant_Visitors,4
0,5/13/2017,Restaurant_Visitors,5
1,5/14/2017,Restaurant_Visitors,6
0,5/15/2017,Restaurant_Visitors,0
0,5/16/2017,Restaurant_Visitors,1
0,5/17/2017,Restaurant_Visitors,2
0,5/18/2017,Restaurant_Visitors,3
0,5/19/2017,Restaurant_Visitors,4
0,5/20/2017,Restaurant_Visitors,5
0,5/21/2017,Restaurant_Visitors,6
0,5/22/2017,Restaurant_Visitors,0
0,5/23/2017,Restaurant_Visitors,1
0,5/24/2017,Restaurant_Visitors,2
0,5/25/2017,Restaurant_Visitors,3
0,5/26/2017,Restaurant_Visitors,4
0,5/27/2017,Restaurant_Visitors,5
0,5/28/2017,Restaurant_Visitors,6
1,5/29/2017,Restaurant_Visitors,0
0,5/30/2017,Restaurant_Visitors,1
0,5/31/2017,Restaurant_Visitors,2
